Position	Counts	End
-20	447	5
-19	441	5
-18	459	5
-17	457	5
-16	501	5
-15	493	5
-14	444	5
-13	440	5
-12	386	5
-11	696	5
-10	6594	5
-9	69106	5
-8	135661	5
-7	83957	5
-6	23124	5
-5	26367	5
-4	17494	5
-3	13715	5
-2	27631	5
-1	16601	5
0	22161	5
1	27318	5
2	18216	5
3	21310	5
4	11903	5
5	39645	5
6	5931	5
7	11250	5
8	11241	5
9	12154	5
10	16059	5
11	8667	5
12	8469	5
13	13901	5
14	9750	5
15	6515	5
16	13297	5
17	9095	5
18	7082	5
19	11066	5
20	7606	5
21	8014	5
22	11500	5
23	7828	5
24	6698	5
25	11526	5
-20	4694	3
-19	5448	3
-18	7405	3
-17	4331	3
-16	4006	3
-15	6339	3
-14	2763	3
-13	361	3
-12	90	3
-11	112	3
-10	89	3
-9	96	3
-8	81	3
-7	61	3
-6	68	3
-5	67	3
-4	74	3
-3	60	3
-2	71	3
-1	58	3
0	62	3
1	44	3
2	39	3
3	57	3
4	40	3
5	50	3
6	46	3
7	48	3
8	48	3
9	37	3
10	32	3
11	33	3
12	38	3
13	40	3
14	47	3
15	73	3
16	77	3
17	49	3
18	26	3
19	39	3
20	43	3
21	25	3
22	47	3
23	45	3
24	39	3
25	40	3
